  id   |                           character                           | order_of_appearance | movie_id | person_ext_id 
    1642 | false | {}                                                                                                                                                                                                                 | From Wikipedia, the free encyclopedia                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            +| 1960-09-27 |            |      2 |                                                                        | nm0000852  | Acting               | Jean-Marc Barr              | Bitburg, Rhineland-Palatinate, Germany                                        |      4.525 | /ukdhuHD2vqBr5NKMiTQ52KRF75w.jpg
         |       |                                                                                                                                                                                                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  +|            |            |        |                                                                        |            |                      |                             |                                                                               |            | 
         |       |                                                                                                                                                                                                                    | Jean-Marc Barr (born on 27 September 1960 in Bitburg, Rhineland-Palatinate, Germany) is a French-American film actor and director. His mother is French. His American father was in the US Air Force and served in the Second World War. Jean-Marc Barr is primarily known as an actor, but is also a film director, screenwriter and producer. Barr is bilingual in French and English: he speaks French with a nasal, hybrid accent, reminiscent of his American upbringing - with a slight American accent and occasional anglicisms in interviews - and English with a Mid-Atlantic accent.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  +|            |            |        |                                                                        |            |                      |                             |                                                                               |            | 
         |       |                                                                                                                                                                                                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  +|            |            |        |                                                                        |            |                      |                             |                                                                               |            | 
         |       |                                                                                                                                                                                                                    | He studied philosophy at the University of California, Los Angeles, the Paris Conservatoire and the Sorbonne. He went on to pursue an education in drama at the Guildhall School of Music and Drama in London. In London he met his future wife, a pianist and composer Irina Dečermić.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          +|            |            |        |                                                                        |            |                      |                             |                                                                               |            | 
         |       |                                                                                                                                                                                                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  +|            |            |        |                                                                        |            |                      |                             |                                                                               |            | 
         |       |                                                                                                                                                                                                                    | Jean-Marc Barr began working in theatre in France in 1986. After some television roles and film work, in particular, Hope and Glory (1987) by John Boorman, he was cast in the tremendously successful The Big Blue (1988). Luc Besson cast him in the role of French diver Jacques Mayol. He played in the role opposite Rosanna Arquette and Jean Reno. The Big Blue was the most financially successful film in France in the 1980s.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          +|            |            |        |                                                                        |            |                      |                             |                                                                               |            | 
         |       |                                                                                                                                                                                                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  +|            |            |        |                                                                        |            |                      |                             |                                                                               |            | 
         |       |                                                                                                                                                                                                                    | In 1991, he starred in Danish director Lars von Trier's Europa, marking the beginning of a long friendship (he is the godfather of von Trier's children) as well as a significant professional relationship. He went on to appear in von Trier’s Europa (1991), Breaking the Waves (1996), Dancer in the Dark (2000), Dogville (2004) and Manderlay (2005). Also in 2005 he starred in the French film Crustacés et Coquillages.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 +|            |            |        |                                                                        |            |                      |                             |                                                                               |            | 
         |       |                                                                                                                                                                                                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  +|            |            |        |                                                                        |            |                      |                             |                                                                               |            | 
         |       |                                                                                                                                                                                                                    | His collaboration with von Trier put him on track to start directing his own work. He debuted in 1999 as a director, screenwriter and producer with the intimate love story Lovers. This film became the first part of a trilogy; the two subsequent parts being the drama Too Much Flesh (2000) and the comedy Being Light (2001) which he co-directed with Pascal Arnold.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      +|            |            |        |                                                                        |            |                      |                             |                                                                               |            | 
         |       |                                                                                                                                                                                                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  +|            |            |        |                                                                        |            |                      |                             |                                                                               |            | 
         |       |                                                                                                                                                                                                                    | He may also be recognized for his role as the attractive divorce lawyer, Maitre Bertram in the Merchant Ivory film le Divorce (2003). He appeared as Hugo in The Red Siren in 2002. He appeared as the main character in the video for Blur's 1995 single, "Charmless Man".                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      +|            |            |        |                                                                        |            |                      |                             |                                                                               |            | 
         |       |                                                                                                                                                                                                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  +|            |            |        |                                                                        |            |                      |                             |                                                                               |            | 
         |       |                                                                                                                                                                                                                    | Description above from the Wikipedia article Jean-Marc Barr, licensed under CC-BY-SA, full list of contributors on Wikipedia.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |            |            |        |                                                                        |            |                      |                             |                                                                               |            | 
   10959 | false | {"Shia LeBouef","Shia La Beouf","Shea LaBeouf","Shia LaBuff",シャイア・ラブーフ,"샤이아 라보프",西亞·李畢福,"Шая Лебаф","Шая Ле Баф","Шая Ла Баф"}                                                                 | Shia Saide LaBeouf (born June 11, 1986) is an American actor, performance artist, and filmmaker. He played Louis Stevens in the Disney Channel series Even Stevens, a role for which he received Young Artist Award nominations in 2001 and 2002 and won a Daytime Emmy Award in 2003. He made his film debut in The Christmas Path (1998).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      +| 1986-06-11 |            |      2 |                                                                        | nm0479471  | Acting               | Shia LaBeouf                | Los Angeles, California, USA                                                  |     24.978 | /ljlpaXEManszxIcshYQoqo4au03.jpg
         |       |                                                                                                                                                                                                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  +|            |            |        |                                                                        |            |                      |                             |                                                                               |            | 
         |       |                                                                                                                                                                                                                    | In 2004, he made his directorial debut with the short film Let's Love Hate and later directed a short film titled Maniac (2011), starring American rappers Cage and Kid Cudi.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    +|            |            |        |                                                                        |            |                      |                             |                                                                               |            | 
         |       |                                                                                                                                                                                                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  +|            |            |        |                                                                        |            |                      |                             |                                                                               |            | 
         |       |                                                                                                                                                                                                                    | In 2007, LaBeouf starred in the commercially successful films Disturbia and Surf's Up. The same year he was cast in Michael Bay's science fiction film Transformers as Sam Witwicky, the main protagonist of the series.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         +|            |            |        |                                                                        |            |                      |                             |                                                                               |            | 
         |       |                                                                                                                                                                                                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  +|            |            |        |                                                                        |            |                      |                             |                                                                               |            | 
         |       |                                                                                                                                                                                                                    | Transformers was a box office success and one of the highest-grossing films of 2007. LaBeouf later appeared in its sequels Transformers: Revenge of the Fallen (2009) and Transformers: Dark of the Moon (2011), both also box office successes. In 2008, he played Henry "Mutt Williams" Jones III in Indiana Jones and the Kingdom of the Crystal Skull.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       +|            |            |        |                                                                        |            |                      |                             |                                                                               |            | 
         |       |                                                                                                                                                                                                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  +|            |            |        |                                                                        |            |                      |                             |                                                                               |            | 
         |       |                                                                                                                                                                                                                    | His other credits include the films Holes (2003), Constantine (2005), Wall Street: Money Never Sleeps (2010), Lawless (2012), The Company You Keep (2012), Nymphomaniac (2013), Charlie Countryman (2013), Fury (2014), American Honey (2016), Borg vs McEnroe (2017), Honey Boy (2019), The Peanut Butter Falcon (2019), and Pieces of a Woman (2020).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          +|            |            |        |                                                                        |            |                      |                             |                                                                               |            | 
         |       |                                                                                                                                                                                                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  +|            |            |        |                                                                        |            |                      |                             |                                                                               |            | 
         |       |                                                                                                                                                                                                                    | Since 2014, LaBeouf has pursued a variety of public performance art projects with LaBeouf, Rönkkö & Turner.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |            |            |        |                                                                        |            |                      |                             |                                                                               |            | 
